review,Sentiment
Great experience of this app,Positive
"""Very informative,fast and giving whole knowledge.""",Positive
"""Great App to know features, specs and prices of cars.""",Positive
Need improvement in advance search which must also have an option for choosing cars with EMI amount. Rest is good.,Feature Suggestion
 Rest is good,Positive
"""No user verification. Many fraud ads present in this app. You can easily get cheated by sellers. Before doing any deal visit that seller personally. Never trasfer money in advance to anyone, specially if someone says he/she is working in Army and CISF""",Personal Experience
"""No user verification",Negative
This app is brilliant and true love u cardekho,Positive
Impressive and this app gives detailed information about cars,Positive
one of the best app to compare prices and specification of the cars,Positive
"""Good experience. You can know all about the car variants, price, deals etc.. etc.. Liked it""",Positive
please make a tabular form of the features available in varients of car. power to weight ratio should also be included.,Feature Suggestion
Excellent pricing and good functions like Emi calculator etc . just a fantastic app.,Positive
Excellent pricing and good functions like Emi calculator etc ,Positive
Pathetic App wasted time installing this. Valid email I'd updated still says invalid Missed call given but stills gives msg as no missed call. Not recommended,Negative
Pathetic App wasted time installing this,Negative
 Not recommended,Negative
"""Very good app for comparison, however it shows the same images for all variants..""",Neutral
Best ever car app it contains only new cars but it also has an experience of Car in 3d,Positive
Nice It shows the realtime Review of the. And also it enables you to feel the car,Positive
loved it specially 360 view.Only probleam is car images takes up too much of time to load,Neutral
loved it specially 360 view,Positive
I like it & I love this app because giving the information about cars perfectly about new cars &getting calls also from this site seriously I love this app,Positive
Fantastic app for cars explorations ! Love the experience.,Positive
"""Selection and information about cars is well placed , love the notification and information about cars m""",Positive
Nice experience with this app full details about cars,Positive
It is good app for automobile fans but please add a division for commercial vehicles also,Feature Suggestion
Very good app to find all vehicle details and compare with other brands and models,Positive
It is good to see every cars or we can say every 4 wheelers &also u can see here prices for every locations,Positive
Uses difficulty but interesting feature but one thing miss car start button on home page,Feature Suggestion
"""This app is very useful to know the entire details about car spec , Photos and the explore the feel.Amazing work by car dekho""",Positive
"""This app is very useful to know the entire details about car spec , Photos and the explore the feel",Positive
Nice app for car buyers as it gives lots of information of many cars you want to choose for your family,Positive
"""Excellent app, very informative and useful, you will find every help you needed for car""",Positive
it's a good car app which helps to know everything right about any car either new or second hand.,Positive
Very usefull informations for selecting a vehicle before buying.,Positive
Very Useful app to Know about cars and its varients to compare and analysed to pick a perfect car,Positive
Worst app ever .. i am a car enthusiasts and i keep on checking new cars and this app giver our personal information to the dealers and they keep on calling me.... Even tho i have uninstalled this app form 1 yr but till now i get calls from the dealers,Negative
Worst app ever ,Negative
"""It 's a very good app, and through this car dekho app, any person can buy and sell new and old cars,""",Positive
The updated version doesn't post any adds even after paying!! Worst!,Negative
The app gives a reality feel to observe a car and it's features... really awesome and keep doing more,Positive
 really awesome and keep doing more,Positive
Not working properly at slow speed internet,Bug Report
Best app to get all the details perfectly,Positive
"""After update , App is very slow and hang every time.""",Bug Report
Very good as well as useful aap,Positive
very good app and has all information that you may required to know. i would suggest everyone to download this application.,Positive
very good app and has all information that you may required to know,Positive
"""App is very fine but please add the CVT,DCT,AT,AMT filters for the ease of users to choose the best car for them.""",Feature Suggestion
"""Nice app , we will get auto news ,all vehicles information, reviews""",Positive
when you operate the app it will hang several times for indefinite timings.,Bug Report
Great app to keep oneself updated about Automotive industry and products.,Positive
Page start jumping up and down when scrolls down in price section of the vehicle selected .,Bug Report
Totally wastage of time. While adding details in app but after verification they tell the price less 50 thousand.,Negative
Totally wastage of time,Negative
"""WoW, superb experience for new car, old card and upcoming car with full details""",Positive
This app is very good. It is one of the best to find anything at reasonable price.,Positive
This app is very good,Positive
Loved one amazing 3d effect interior and exterior much this one.,Positive
"""amazing app,very nice information about all the cars, impressive""",Positive
The app is not stable when I scrolling its automatically down again and again.,Bug Report
"""very helpful app, it provides all information about the cars.""",Positive
great app..still need some modification like more keyword search option while searching old vechile.,Positive
great app,Positive
"""Best platform for automobile lovers to explore ,evolve & execute there intrest in cars ..""",Positive
this is very good app for comparing and searching for up coming cars it is nice,Positive
Really good to get latest news nationally as well as internationally really cool comparison and review,Positive
The shake option sucks.. automatically opens the video randomly. App is neat. Navigation sucks,Negative
The shake option sucks,Negative
 App is neat,Positive
 Navigation sucks,Negative
It is a good app for purchasing old or new car by comparing with others according to our opinion and we can get a good car by good price.,Positive
very good app and the car purchase to very option and comparisons other cars,Positive
Very useful and friendly app. CarDheko will be my 1st priority to study about cars before purchasing.,Positive
Very useful and friendly app,Positive
 CarDheko will be my 1st priority to study about cars before purchasing,Positive
"""excellent app very informative,all specs at your fingertips""",Positive
Highly informative app and can make you well informed with all in and out of the retail as well as production news and facts of the auto market.,Positive
Please add a option where we can separate the under 4m and above 4m cars and also with the power!,Feature Suggestion
"""Don't install, app lags too much and your phone also lags about 5 minutes, worst app""",Negative
"please check your app, getting hanged and none of the filters are working",Bug Report
A very helpful app,Positive
user friendly and accurate... helpful on new car research. I suggest this app to everyone.,
provide accurate information about latest n upcoming cars. car comparison feature is awesome,Positive
provide accurate information about latest n upcoming cars,Positive
 car comparison feature is awesome,Positive
"""App getting crashed while clicking on """"Edit"""" button in EMI Start section.""",Crash Report
"""Good app,by using this app we can get lots of knowledge about car before buying a new car""",Positive
Very good App but showroom & this application rate is not matched.,Neutral
Not accurate fully messed up showings wrong when compared to different models.,Negative
very nice app for car selection and the best thing about the app is we can view 360°,Positive
"""Genuine reviews and updates instantaneously, car buyers must have this app""",Personal Experience
It's a great app to buy old and new cars with price of each state,Positive
"""good app, on road price is additional feature not present in other app i was using""",Positive
Best app for taking full knowledge of all types of vehicles,Positive
"""nice app all about cars, comparison, helpful reviews and more""",Positive
"""App is good but lot of fake sellers, I have given token amount of 1000 RS to one of the seller and no response from him after that, he even shared his id card and other car docs, not sure if it is original or fake. One should be careful with these kind of sellers.""",Personal Experience
Very nice App giving you broad picture about the vehicle you want to buy. Am loving it,Positive
Very nice App giving you broad picture about the vehicle you want to buy,Positive
 Am loving it,Positive
"""Perfect data on cars with genuine analysis, good app for buying new cars""",Positive
wonderful app and all information is correct.,Positive
Full waste of time. I trying to upload my car details but app can't load and troll free number also not working.,Negative
Full waste of time,Negative
"""great app ,provide good and value for money information""",Positive
"""Should be contain more about cars, like length ,hight, weight.""",Feature Suggestion
really good application! i get every information what i need.,Positive
so superb and so convenient and so much awsm app....very informative loved it,Positive
so superb and so convenient and so much awsm app,Positive
very informative loved it,Positive
"""Excellent app, all the information available regarding every car""",Positive
Filter is not working as given. I have downloaded and uninstalled.,Bug Report
 I have downloaded and uninstalled,Negative
Best app I used to find ideal car that can fix in my budget...,Positive
This app is so nice that the app shows all info about new and old cars,Positive
"""best car application,its give all details and offers related cars.""",Positive
It's very very good app for knowing vehicle details from our home.,Positive
"""Unnecessary Background Audio It Disturb Mind. Otherwise Good Interface , Great user Experience""",Neutral
" Otherwise Good Interface , Great user Experience""",Positive
good app we can see the interior of car in 360° veiw of car that was amazing,Positive
The 360° view option to see cars' interior is just mind blowing,Positive
"""So specific about contents, very nice app and infomatic about recent launches and tech specs""",Positive
"""Used multiple apps like quikr, olx, carwale etc for selling my car, after that i have installed Cardekho app, selling car experience is pretty good with them. App helped me in selling my car in 4-5 days.""",Positive
"""This is a genuine and reliable source with practical study of the vehicles and latest updates. I sincerely thank one and all, whoever, work on behalf of 'Car Dekho' for the service rendering to the general public in this regard.""",Positive
"""This is a genuine and reliable source with practical study of the vehicles and latest updates",Positive
Great app to discover new cars. However kindly add the Indian sounds for Oscar for which you don't have it now.,Positive
Great app to discover new cars,Positive
Good app to search dream cars and also for used cars,Positive
"""While clicking on """"View Seller Details"""" or """"Chat"""" does nothing. Pathetic app.""",Negative
 Pathetic app,Negative
Excellent.. but thers should be image of all varient spcly mid rage coz most of buyer buy mid range.,Positive
Excellent,Positive
Please add filter option in latest and upcoming cars.,Feature Suggestion
good app but some interior pic are not added of some particular cars,Neutral
Wonderful app for all types of cars models with complete comparison with video,Positive
"""This app is completely best app, I used app, like a very perfect app for need a car details""",Positive
Hiding common features not working properly,Bug Report
"""excellent app for car purchase & comparing, easy to use & good service assistance from car dekho team""",Positive
"""very good App, you can compare new price also.""",Positive
"""Got only fake dealers, the sellers asked the buyers details and locations and above all the sellers don't wana share their location and address. Also the sellers asked the buyer's personal ID for home delivery without showing the vehicle. Will uninstall it for sure.""",Personal Experience
 Will uninstall it for sure,Negative
"""Whenever i need some information regarding any car such as price, features,mileage and comparison with any other car i take help from this app""",Personal Experience
Some times not working properly.,Bug Report
Best app for buying or selling cars,Positive
Too much lag. Very slow app i have ever seen !!,Negative
 Very slow app i have ever seen !!,Negative
my app is not working properly after updating it automatically scroll down.problem in viewing content,Bug Report
Its is very useful to compare the modal of top modal cars,Positive
could be more user friendly. But overall satisfied,Neutral
very helpful to explore the all brand caaars and easy to compare between brand variants and gr8 aap,Positive
"""Good app, it gives all car information, keep it up""",Positive
"""This is very nice site to choose your affordable car by its features, milege etc.""",Positive
Stop buffering videos and auto playing them on start or at least put an option in the sertings to make it optional,Feature Suggestion
provide full info and can compare any car with all features this is best of any app,Positive
Accurate Data with exact details required by probable Buyers.,Positive
i like this app very much by this app i get all cars information very easily,Positive
Good app for searching cars One of the best feature is 360 experience,Positive
Not every car has feel the car and engine sounds.,Personal Experience
Worst app takes too much time to open even my internet connection is good,Negative
it is a great app for comparing and making decision for what car you have to buy,Positive
the app is very good but the pics of the car needs to get updated up to date,Neutral
Most useful app in market,Positive
Awesome app but lots of car brands are still not available...,Neutral
app is very good but the on road price is not same as the showroom on road price huge difference in price,Neutral
its very helpful for finding the best car that suits us.,Positive
Great site to overview all cars and best comparisons.,Positive
Nice app for serching new or old vehicle and give all information also hidden,Positive
good app for buy a car and more knowledge for automobile.,Positive
Best app for exploring cars,Positive
But really gotta appreciate the code written behind. Amazing Experience !!!,Appreciation
Its a helpful and excellent apps,Positive
An amazing app for idea of buying an appropriate car as per ur budget,Positive
very convenient for new updates to know about the specs and pricea of cars,Positive
"""useless app never ran after detecting the location.yes, it stoped there and asking for fetching my location again and again""",Negative
This is an awesome App for Cars and their details..,Positive
"""good. accurate specification, accurate pricing.""",Personal Experience
"""superb app, but also provide the pics of all variants""",Neutral
"""nice, usefull.. please add difference in self variants""",Positive
"""nice, usefull",Positive
"""It's a good app for beginners car buyers, good information""",Positive
Nice app with usefull updates of current and upcoming cars,Positive
very good but some details need to be updated frequently,Neutral
nice info on all the cars available in market.,Positive
I like this app because it gives all details of any car,Positive
worst app I didn't get any information. home page is full blank and I can't register with my any I'd,Negative
worst app I didn't get any information,Negative
A best app to buy cars,Positive
U can explore every variant n compare with other cars easily,Personal Experience
"Dont download,doesnt work. keeps crashing.",Negative
"Dont download,doesnt work",Negative
Great service n also provides full knowledge about car also helps to purchase new cars I love this application,Positive
wonderful apps for car details and learning.,Positive
It glitches all the time when I select feel the car,Bug Report
Awesome app very very usefull information about cars,Positive
"""Very nice, can know about new cars without asking anyone, helps to do primary home work before buying car""",Positive
"""By using this app i can get full information of any car, very useful.""",Positive
Nice one to buy used cars and user friendly applications for users,Positive
great app with all informations of all type of cars,Positive
great app to vehicle searchers. My question is does the on-road price really reflects the actual on road price on final bill for that particular chosen state?,Positive
great app to vehicle searchers,Positive
This app is very helpful to know about cars details.,Positive
Good app but sometimes shows incorrect price.Comparison factor is good,Neutral
It's very good to see all the prices and photos of new cars thanku so much,Positive
"""Deep details, Original Pictures, Prise range is good""",Positive
Excellent app to see any car with actual onroad price.,Positive
Very good app but app works very slow.,Neutral
"""It's very informative app, it is easy to use.""",Positive
crashes a lot!! pls consider further debugging to fix!!,Crash Report
Too much error.. app don't work properly,Bug Report
Too much ads and sometimes app not work properly bcz of ads,Bug Report
Very good App to search and compare cars .,Positive
Very good App to search and compare cars ,Positive
An amazing app that i have been using for years now.,Positive
Useful app to buy any car and compare two cars,Positive
Very useful app for vicle information or connecting company to customer,Positive
The app gives complete information about cars before buying,Positive
"""It's a good app, I kept it until I booked my car, thanks""",Positive
This app very helpful for knowing all types of vehile details.,Positive
Awesome app to compare price and specifications,Positive
Overall it's good but give quickly car view updates,Neutral
All the luxury cars are amazing n mind blowing n this app is most usefull for sawing cars.,Positive
Best app to buy new and used car,Positive
"""nice app,easy to select car or their spare parts""",Positive
Start laging after few minutes of use,Positive
Very very good information of the cars by the aaps Thanks,Positive
"""Very informative, clean interface.""",Positive
superb app very helpful for second hand and New car buying,Positive
This app is very helpful,Positive
Everything is good but some issues in car specification,Neutral
"""Best 3D visible all car,Show's all the car on road price""",Positive
Good app with on road price details of vehicles,Positive
Well I love the app as it helps to find out the price in your own state.,Positive
excellent please provide 360 degree view of cars with zooming features,Feature Suggestion
Superb app and you get every detail about cars,Positive
Very useful app for comparing different cars,Positive
Excellent app but need some improvement!,Neutral
"""very bad ,no info is available ,not loading datas.""",Negative
Perfect app for cars details and comparison,Positive
Very nice app it give information about all the cars nice app,Positive
Background voice add is to irritating so i have uninstalled this app,Negative
Page takes an era to load,Bug Report
such a wonderful app to know the actual car details download cardekho app right now,Positive
"""Beautiful App , The most useful one I found and very handy too""",Positive
"""Nice app, everything is working fine.""",Positive
Great but also needs offers,Neutral
Nice but one star less for not showing chevrolet cars,Neutral
This application is best information with new generation,Positive
Nice app you have no need to go to showroom for discuss about new car you can every thing check in this app,Positive
Love to see 360 degree models of 4 Wheelers with original sound of engine.,Positive
great experience with app all information are about any car,Personal Experience
Superb review and impart actual price of vehicles,Positive
"""App just goes blank on installing, nothing works""",Bug Report
"""good app,,, gives almost all info you need""",Positive
"""amazing app, best app for Buying used cars,""",Positive
Very descriptive and informative. Provides better and indepth information than official car company sites.,Positive
Very descriptive and informative,Positive
Where is hide common things option in Comparison ?,Question
"""This cardekho platform is really waste of time ,I book an appointment to evaluate my car and the employee visited my house and evaluated my car after evaluation, I did not receive any call after 2 days I called the person who gave me an appointment for evaluation ,he said that he was working on my evaluation result,and after 4 days I called him again and he said the same thing and his way of communication was not good they are completely responsible, and after all that 20 days went I didn't get""",Personal Experience
It is such a amazing app and we will see the featured of cars,Positive
"""Dear developer, There is profile with name like vikas or vks who is fraud profile. All user should check obv value of any car before paying token amount of cars. Don't put yourself in to such fraud targets.""",Personal Experience
Too much lag when scroll.,Bug Report
Superb superb app for browsing about cars,Positive
Awesome place to get real time information.,Positive
"""detailed information available on the app, Love using it""",Positive
"""Unimaginable features are there in this app Loved it,6/5 Stars""",Positive
App is good for car lover's it provide you all essential knowledge about upcoming latest and used cars,Positive
It's user friendly and it gives you high intellect about cars that are upcoming as well as in current market,Positive
Good app with all reviews and details required,Positive
In this app i can make best experience about car in this app i and you can find some old and new cars awesome app and awesome cars in this app so in my wish you can download this app.,Personal Experience
Need to give option to check correct value of car,Positive
Background videos are very irritating..want to uninstall app...,Negative
want to uninstall app,Negative
nice but you add accesories and part of that car,Feature Suggestion
"""Its not showing santro,s engine working like other car,s in app""",Personal Experience
The app gets stuck every time I me I open it.,Bug Report
Some fantastic and attractive car deals available in CarDekho!,Positive
Very nice app all car news is fast,Positive
This is amazing application for car price and modle,Positive
best but ads can waste your time,Neutral
Good app But there are many car company missing,Neutral
"""Very Useful App, To Know About The Cars...""",Positive
Need more no of filters an no of cars,Feature Suggestion
According to me this is the best app to buy and sell cars,Positive
Authentic and user friendly till now.,Positive
Best app to understand automobile key specification,Positive
Excellent app for search used and new cars,Positive
"""i have been using this app since years nd i believe no other app can give us better info than this. Well done Team, nd Lots of blessings for you, Love from Kashmir""",Positive
"""i have been using this app since years nd i believe no other app can give us better info than this",Positive
The app is quiet helpful but there are still some discontinued cars shown,Neutral
"""It is very good to see all car colour,""",Positive
The fule tank capacity pls mention because it's more use for clients,Feature Suggestion
Very Fast and customer friendly,Positive
Not showing all cars of a pirticular company but app is good,Neutral
Its wonderful service and dealing.,Positive
Great and fast interface,Positive
Best app for quick view of any car..,Positive
when you click on the offers it doesn't show anything.,Bug Report
"""Very good and useful app, highly recommended...""",Positive
good but price and specifications are incorrect,Neutral
"""This app helped me find my first car, app and car both are awesome""",Positive
Car details and photos everything was good,Positive
Does not give all photos of vehicle,Personal Experience
Awesome guide for new car buyers,Positive
"""superb app for new buyers,to compare""",Positive
never give your mobile number. too many spam calls.,Personal Experience
expert review is my favourite area of interest in this app...,Personal Experience
Great app if you are interested in cars then you must install it,Positive
This is over all a good package for car buyers,Positive
Third class app I want try 100 of time for sale my car but they every time say please type your valid email address .,Negative
"""If i need total information of car i have to go for this app only, i dont have another option & i dont want to go for another option as well.""",Positive
Car images are unavailable why,Question
"Do bring dark mode as an option,Many phones nowadays offer that.",Feature Suggestion
The best ever APP to review your dream car before buying.,Positive
Superb app very useful for car freak's,Positive
very good app for car search and compare,Positive
Good Very very good everything so detailed,Positive
Best app with clear cut informations.,Positive
This app sucks. You can't even view your own ad that u postes.,Negative
This app sucks,Negative
This app provides latest updates on all the models of car...,Positive
Good insight on New and used cars,Positive
Quality Explained at it's best !!!,Positive
Wonderful app easy to compare.,Positive
has serious loading issues,Bug Report
best one but this app is takeing much internet,Neutral
This app just gives fake and misleading information. Lost my hard earned money because of this non sense app. Dont use and never suggest anyone.,Personal Experience
The best app which shows genuine analysis of car and offers related to the auto sector..,Positive
"""Car comparison cant be done,app force close.""",Crash Report
"""Good application, useful to choose your dream car.""",Positive
many times dealers and app have different info of vehicle..,Personal Experience
best app for getting all details of any car,Positive
"""Oswm app, you must enjoy it.""",Positive
Very very useful and guiding force,Positive
This app is good but it has problem in favourites,Neutral
App is nice but UI is not accurate..,Neutral
Sometimes aap does not working properly,Bug Report
I thinking this is the best app from where you can search perfect car for yourself,Positive
Unable to chat any seller,Personal Experience
it's easy to use and we get the correct information with all the details,Positive
This app really helped me a lot to choose my new car.,Positive
Feel the car is the best feature of this app.,Positive
It is fantastic it gives us detail about all cars,Positive
This app verry nice but not show payment system,Neutral
Time saving app full of knowledge about cars,Positive
optimize the search procedure,Feature Suggestion
most helping app for new & old car purchesing..,Positive
"""It's a perfect , highly useful app.""",Positive
poor not having exact price some of cars pics not included like luggage space,Negative
Wide choice selection between brands & models whether Automatic or manual.,Positive
comparison between cars is too good feature,Positive
This is the good app for car purchasing.,Positive
"""Very good & helpful., Love to see some more info on AMT""",Positive
"""Very good & helpful",Positive
", Love to see some more info on AMT""",Positive
"""superb app, can find all d details""",Positive
Good app to obtain any information about any car.,Positive
Nice app give good details of cars,Positive
This app gives clear information its good relevant app,Positive
Best app u can get the perfect price quote U can get all the details about the car,Positive
Very useful app for cars,Positive
"""Fake app, always show over price""",Negative
Direct on road price will be best option instead of showing showrrom price,Feature Suggestion
very good app with correct information very helpful,Positive
Comparative Details About Cars Is Awesome.,Positive
Very use ful & very important I like the apps,Positive
Best car Comparing and details finding app,Positive
Unable to buy any car from Cardekho application,Personal Experience
If you interested in cars then you will definitely like these app,Positive
Nice we can see interior and exterior like a real car it nice and cool,Positive
app is good but lot to improve compared to carwale app,Neutral
Excellent app for car explorers..,Positive
photos quality not as good,Negative
Very nice app for buyers,Positive
Best supporting app for purchases a car,Positive
Very interactive and loved it,Positive
Very convenient & informative.,Positive
this is the only app which provide full info about every car,Positive
its a very nice for the knowledge of car and for buy,Positive
add engine type and engine version detail,Feature Suggestion
great apps having a good details,Positive
awesome app loved it loving it and will loving it continuesly,Positive
It's an awesome and really a very good app.,Positive
Highly informative and helpful.,Positive
i think its best app when it comes to automobiles !,Positive
super good app for search new & used car,Positive
lovely app for knowing vehicle information,Positive
This app is good for knowing and for buying,Positive
very informative and useful app,Positive
Wonderful app with all the details we want,Positive
time wast app no instant price value no actual price,Negative
All four wheel brands at one place nice a d very helpful,Positive
"""very usefull app ,helps with market intel""",Positive
its a very useful and informative app software,Positive
Good app for information on any car,Positive
Good and very informative.,Positive
Best App For Finding New and old car besttt,Positive
Very good app for searching cars,Positive
Best app to choose a car accoedingly,Positive
Good app with many features,Positive
This app is great but it too hang,Neutral
User friendly & correct info provided,Positive
very good app for before buying cars,Positive
"""Very nice app , with great info""",Positive
Must Download Best Car Information App on play store,Positive
best helpful App for choice car purchase...,Positive
very slow app dull performance,Negative
7 star apps for car and more really good,Positive
Best app for the user love to buy cars,Positive
Nice inside of car experience!!!,Positive
Very user friendly app,Positive
It's quite good app to buy a right car,Positive
amazing app love the interface..,Positive
Good app for new car or used car byer,Positive
awsm app to get each and every detail about cars,Positive
"""Required:-Car review with video, more pictures""",Feature Suggestion
Great app for car shopping,Positive
This app is so much fun and marble and fantastic,Positive
Good app but sumtime hangs,Neutral
This app provide good information about cars,Positive
Nice App for selecting a Right car,Positive
Best app to know about cars and getting a new cars,Positive
Fabulous information about cars & deals,Positive
"""Love this app, very comfatable to use""",Positive
Every time getting good information through this app,Positive
Good app with clear information,Positive
Best app for search new car and onld car trusted ap,Positive
Very good information about cars.,Positive
This is best app for car sell or new car,Positive
It's great and specific details,Positive
Super apps for car details,Positive
Cool and super easy useful,Positive
Good and informative app,Positive
Good but not proper car not realy price,Neutral
Very nice app for cars !,Positive
good app for buying and selling car,Positive
This app is easy to study about cars,Positive
This game is nice but there are some company that is missing like Chevrolet,Neutral
"""If you are planning to buy a car, first install this app!!!""",Positive
very good and user friendly app,Positive
A good app for searching cars,Positive
perfect place to look for New & Old cars,Positive
nice app for new all brands car information,Positive
Great place to sell & buy car....!!!!,Positive
nice but Application not working properly,Neutral
Outstanding app for viewing cars,Positive
Some time app not work properly,Bug Report
search results is always wrong,Bug Report
Best app for cars information,Positive
It's a very good and easy app to use,Positive
Very bad app.. Its very slow ....,Negative
Very bad app,Negative
Very bad app,Negative
Good one but keep on improving,Neutral
you should upload pictures of different variants also,Feature Suggestion
Nice app but notifications don't really work,Neutral
"""Fully loaded app, very good""",Positive
More info and very useful,Positive
"""aap is very good ,my fav is 360° view!!!""",Positive
It is a good app for searching a good car.,Positive
Background videos are playing while using this app Waste app dont install,Negative
Very nice and good experience.,Positive
"""Very good disciption given, very nice app""",Positive
very nice app to buy and sell cars,Positive
Its all Awsom But the service and maintenance details for all cars should be there,Neutral
Lag so much.....horrible,Bug Report
horrible,Negative
Some fake sellers are there!,Personal Experience
very good option for before you going to buy a new car,Positive
Wonderful experience and response.,Positive
It is the best i ever seen because of it 360 viewing of the car,Positive
like the range they have on the portal...,Positive
it's features of feel the car is amazing,Positive
"""everything is fine except cylinders,it is not mentioned""",Neutral
It's easy to find out about car offer and many,Positive
super app this app is so helpful to me for project works,Positive
Cool app so easy and helpfull,Positive
Best dealing and authentic apps,Positive
"""Provides exact n reliable information regarding cars,its latest launches ,upcoming cars etc.""",Positive
Nice one but needs more cars,Neutral
"""best application to know and buy cars , loved it""",Positive
App good but image is not clear,Neutral
liked it but need improvement,Neutral
Very good and support application,Positive
Lots of details knowledge about the vehicle,Positive
I am still using the i am very impressed with the app,Positive
Application is very slow,Bug Report
Very nice car details review,Positive
"Excellent service,Thank you",Appreciation
very helpfull for searching cars,Positive
The best useful app for search the car,Positive
excellent app for comparing cars,Positive
Great place to research about cars before buying,Positive
This app gives you fake information about cars do not believe the app,Negative
This app helps me lot to choose new car,Positive
User-friendly and awesome,Positive
All are genuine sellers not fake one like in OLx,Personal Experience
app is good but used cars price is very bad,Neutral
best app for buying new cars and looking for futures also,Positive
Too much variety of models and cars,Positive
this mobile app is good but in this app should be modify in it feature,Neutral
All solutions on one platform,Positive
"""Worst application, Fake car showing. You may loose ur money non trusted source""",Negative
"""Worst application, Fake car showing",Negative
The best way to know about up coming cars and also sale & buy the old car.,Positive
Full of bugs,Bug Report
Thanks you cardekho this app is very use full,Appreciation
Waste app i cant login in mobile app dont use this,Negative
Useless app wast of time. Not easy to use,Negative
Useless app wast of time,Negative
Your service is very good & useful,Positive
"""Awesome application, Good response""",Positive
extraordinary car info.,Positive
Good website with selling and buying anway good im very interested to see you app thanks,Positive
updated version is worst to use..,Negative
Time to time updating is very fast,Positive
Please create truck dekho mobile app please it's so use full for us,Feature Suggestion
The best App amongst others of same category,Positive
Happy to use this web portal and app,Positive
Takes time to load..,Bug Report
Gives up to date info about cars,Positive
It is very good app for car searching,Positive
Great car information app,Positive
this app is usefull to search our beloved cars,Positive
easy in car choose,Positive
So helpful and trusted aap....,Positive
too many bugs please update app and theme!,Bug Report
How do deactivate ad from app?,Question
Very good analyasis of Vehicles.,Positive
vary slow opening,Bug Report
Wrong informations abouth the features while comparing third class app,Negative
Good app for auto need,Positive
Good app for car search,Positive
By far the best automotive app,Positive
Very good experience ...,Positive
Awesome app it was very nice to use,Positive
Perfect app for cars.,Positive
"""very good app,i like it.""",Positive
Perfect example of marketing,Positive
Nice app for car search engine,Positive
Very very good experience.,Positive
Poor aap the app worked in to much time,Negative
Unbelievable application i personally love it,Positive
"""Was looking for used car and finalised one and made the payment but didn't get the car delivery, car dekho doesn't verify used cars and the owners who post on this website, tried reaching customer support, but no response at all, got cheated thru this app and lost money KA03MU1224 please get checked. ACTUAL OWNER is someone else (who even doesn't know that his car is getting sold) and some body else (fraudster) is selling it""",Personal Experience
This app is so useful I love this app,Positive
car prices are correct and the specifictions also,Positive
Never download this app their call center executives will kill your interest in buying a car. Worst strategy ever experienced,Negative
Perfect app for car enthusiast,Positive
Not loading anything,Bug Report
"""pretty awesome,this app is trustworthy guys""",Positive
Guys we don't get what we search in your app! Totally discussed,Negative
Wonder ful app Superb Wonderful No words to say,Positive
its a good app for searching used cars,Positive
my car image is not loading,Bug Report
Good well organised app..,Positive
"""great app , very useful""",Positive
Good instructions about vehicle,Positive
Very very useful and good,Positive
Amazing and useful.,Positive
Good experience with this app,Positive
Very Good App for Information,Positive
This is bad app not down loading,Negative
App is very laggy,Bug Report
It is very helpful app,Positive
Not working properly..,Bug Report
Demonstration is very good,Positive
very nice app and helpful,Positive
Excellent app very useful amazing,Positive
True and loving application,Positive
Better to visit here before showroom,Positive
It's very useful and nice app,Positive
Excellent comparison of the cars..,Positive
Excellent comparison of the cars,Positive
very good and informative,Positive
Good aap for car information new car arivals total nice,Positive
always nice information given.,Positive
Easy to find price,Positive
Don't buy Second Hand car from carDekho App some fraud seller available in carDekho Second Hand used cars.,Personal Experience
On road Prices are slightly different than showroom,Personal Experience
best app for car details,Positive
very nice and useful app,Positive
Good app and I recommend this app,Positive
Excellent info providing app..,Positive
Very useful app,Positive
superb app for auto updates,Positive
Good can be improved,Neutral
nice and helpful apps,Positive
Excellent app to know about car,Positive
When this car will be launched?,Question
Helpful app for everyone...,Positive
"""Really appreciable app, fantastic app""",Positive
Wonderful and very informative,Positive
best app providing good information,Positive
Very useful app,Positive
Very useful app,Positive
The app doesnt respond for any of the options we choose. It is a total waste of time.,Negative
 It is a total waste of time,Negative
Searched car not appearing,Bug Report
Real &perfect for response from,Positive
No other car app can be compared to this app.,Personal Experience
Its nice App with needed information,Positive
best app for information regards car,Positive
So great and helpful,Positive
Very nice application,Positive
Awesome information of cars,Positive
best app ever for buying car,Positive
Fantastic app for auto,Positive
Nice and useful app,Positive
The most helpful app,Positive
This app is very helpful,Positive
Good app for car lover's,Positive
Features are good.,Positive
Very useful application,Positive
BEST APP FOR CARS BEST APP FOR CAR USER,Positive
app is 100% accurate,Positive
awesome& very helpful,Positive
best app for car purchaser,Positive
Mostly broker with high price,Personal Experience
Best app i ever seen.,Positive
Guys you are just rocking man very nice keep it up,Positive
Excellent car review app,Positive
Very helpful app,Positive
They are frauds dont go with cardekho offers initially they convince us to with cashback offers but once we book and try to claim the offer they cime up with excuses very bad experience we had with car dekho,Personal Experience
Its one of the best guider,Positive
Best description of each and every Four wheeler,Positive
Very helpful app,Positive
Wrong information and not up to date,Negative
Having good database,Appreciation
this app good if you need a good car,Positive
On road prices seems to be unrealistic,Personal Experience
Overall good app,Positive
Very good experience,Positive
Best site for car purchasing.,Positive
There is no chevrolet cars Please add them also,Feature Suggestion
"""Good, Nice collection.""",Positive
"""Worst services , care services""",Negative
too good app & reliable,Positive
"""usefull app, it helps me a lot""",Positive
